Group,Mean_Importance,Std_Importance,Group_Size,Feature,Region,Horizon
314,0.0047321849982438,0.0036038173778076,4,slp_weekave_east_asia_pc11,MW,1
499,0.0047104665009618,0.0040324184355043,3,h_850_weekave_pacific_ocean_pc19,MW,1
499,0.0047104665009618,0.0040324184355043,3,h_850_weekave_pacific_trop_pc19,MW,1
499,0.0047104665009618,0.0040324184355043,3,h_850_weekave_southern_canada_pc19,MW,1
492,0.0046872139302335,0.0034051709652474,2,h_500_weekave_mexico_gulf_pc19,MW,1
492,0.0046872139302335,0.0034051709652474,2,h_500_weekave_pacific_ocean_pc19,MW,1
75,0.0046854723730255,0.0042511046028226,3,slp_weekave_east_asia_pc2,MW,1
75,0.0046854723730255,0.0042511046028226,3,slp_weekave_mexico_gulf_pc2,MW,1
75,0.0046854723730255,0.0042511046028226,3,slp_weekave_pacific_ocean_pc2,MW,1
497,0.0046050155590489,0.0021177082611549,1,h_850_weekave_east_asia_pc19,MW,1
407,0.0045029129442707,0.0020442255602874,2,h_500_weekave_atlantic_trop_pc17,MW,1
407,0.0045029129442707,0.0020442255602874,2,h_500_weekave_conus_pc17,MW,1
171,0.0044890300530865,0.0031745459042908,2,t_850_weekave_atlantic_ocean_pc5,MW,1
171,0.0044890300530865,0.0031745459042908,2,t_850_weekave_atlantic_trop_pc5,MW,1
294,0.0044727778474567,0.0019439826532952,1,h_500_weekave_pacific_ocean_pc10,MW,1
86,0.0044699759047915,0.0062249653877588,2,ts_weekave_atlantic_trop_pc2,MW,1
86,0.0044699759047915,0.0062249653877588,2,ts_weekave_conus_pc2,MW,1
49,0.0044010324217716,0.0058418774299944,1,h_500_weekave_southern_canada_pc1,MW,1
281,0.0043757279189955,0.0064460257009297,3,ts_weekave_southern_canada_pc8,MW,1
281,0.0043757279189955,0.0064460257009297,3,h_500_weekave_arctic_pc9,MW,1
281,0.0043757279189955,0.0064460257009297,3,h_500_weekave_atlantic_ocean_pc9,MW,1
413,0.0043242448904025,0.0029224553989336,2,h_850_weekave_pacific_trop_pc17,MW,1
413,0.0043242448904025,0.0029224553989336,2,h_850_weekave_pacific_ocean_pc17,MW,1
399,0.0043171457548585,0.0042166472757776,5,t_500_weekave_mexico_gulf_pc16,MW,1
399,0.0043171457548585,0.0042166472757776,5,t_500_weekave_pacific_ocean_pc16,MW,1
399,0.0043171457548585,0.0042166472757776,5,t_500_weekave_pacific_trop_pc16,MW,1
399,0.0043171457548585,0.0042166472757776,5,t_500_weekave_southern_canada_pc16,MW,1
399,0.0043171457548585,0.0042166472757776,5,t_850_weekave_arctic_pc16,MW,1
484,0.0042096924900755,0.0026544943444544,1,ts_weekave_conus_pc18,MW,1
23,0.0041922156004652,0.0115830266693661,1,t_500_weekave_conus_mean,MW,1
296,0.0041617222205042,0.0050275613583755,7,slp_weekave_arctic_pc10,MW,1
296,0.0041617222205042,0.0050275613583755,7,h_850_weekave_southern_canada_pc10,MW,1
296,0.0041617222205042,0.0050275613583755,7,h_850_weekave_pacific_trop_pc10,MW,1
296,0.0041617222205042,0.0050275613583755,7,h_850_weekave_conus_pc10,MW,1
296,0.0041617222205042,0.0050275613583755,7,h_850_weekave_mexico_gulf_pc10,MW,1
296,0.0041617222205042,0.0050275613583755,7,h_850_weekave_east_asia_pc10,MW,1
296,0.0041617222205042,0.0050275613583755,7,h_850_weekave_pacific_ocean_pc10,MW,1
216,0.0041166652511047,0.0018225427936994,1,ts_weekave_pacific_trop_pc6,MW,1
382,0.003985559936077,0.0047191439680824,4,h_500_weekave_arctic_pc15,MW,1
382,0.003985559936077,0.0047191439680824,4,h_500_weekave_atlantic_ocean_pc15,MW,1
382,0.003985559936077,0.0047191439680824,4,h_500_weekave_atlantic_trop_pc15,MW,1
382,0.003985559936077,0.0047191439680824,4,h_500_weekave_conus_pc15,MW,1
103,0.0039278716112157,0.0054788087544631,2,slp_weekave_southern_canada_pc3,MW,1
103,0.0039278716112157,0.0054788087544631,2,t_500_weekave_arctic_pc3,MW,1
516,0.0038840775120819,0.0024080510830069,1,ts_weekave_southern_canada_pc19,MW,1
22,0.0038268146837999,0.0017206871018088,1,t_500_weekave_atlantic_trop_mean,MW,1
284,0.0037595409432241,0.0048810670712785,5,h_850_weekave_atlantic_ocean_pc9,MW,1
284,0.0037595409432241,0.0048810670712785,5,h_850_weekave_arctic_pc9,MW,1
284,0.0037595409432241,0.0048810670712785,5,h_500_weekave_pacific_ocean_pc9,MW,1
284,0.0037595409432241,0.0048810670712785,5,h_500_weekave_pacific_trop_pc9,MW,1
284,0.0037595409432241,0.0048810670712785,5,h_500_weekave_southern_canada_pc9,MW,1
460,0.0036831265398274,0.0029132890489319,1,slp_weekave_conus_pc18,MW,1
259,0.003673632202876,0.0080788398654543,2,h_500_weekave_southern_canada_pc8,MW,1
259,0.003673632202876,0.0080788398654543,2,h_500_weekave_pacific_trop_pc8,MW,1
87,0.003639620299033,0.0021669606766073,2,ts_weekave_mexico_gulf_pc2,MW,1
87,0.003639620299033,0.0021669606766073,2,ts_weekave_east_asia_pc2,MW,1
99,0.0035872935151332,0.0014671676127293,1,slp_weekave_atlantic_trop_pc3,MW,1
4,0.0035796390651406,0.0024185577676821,1,MW_lag_3,MW,1
88,0.0035028432374376,0.00173804227836,2,ts_weekave_pacific_ocean_pc2,MW,1
88,0.0035028432374376,0.00173804227836,2,ts_weekave_pacific_trop_pc2,MW,1
202,0.0034234860593319,0.0029117217768416,2,slp_weekave_conus_pc6,MW,1
202,0.0034234860593319,0.0029117217768416,2,slp_weekave_east_asia_pc6,MW,1
408,0.0033913824492359,0.0032516098614433,4,h_500_weekave_pacific_trop_pc17,MW,1
408,0.0033913824492359,0.0032516098614433,4,h_500_weekave_pacific_ocean_pc17,MW,1
408,0.0033913824492359,0.0032516098614433,4,h_500_weekave_mexico_gulf_pc17,MW,1
408,0.0033913824492359,0.0032516098614433,4,h_500_weekave_east_asia_pc17,MW,1
393,0.0033432205582337,0.0043692925226779,8,slp_weekave_atlantic_trop_pc16,MW,1
393,0.0033432205582337,0.0043692925226779,8,slp_weekave_atlantic_ocean_pc16,MW,1
393,0.0033432205582337,0.0043692925226779,8,slp_weekave_arctic_pc16,MW,1
393,0.0033432205582337,0.0043692925226779,8,h_850_weekave_southern_canada_pc16,MW,1
393,0.0033432205582337,0.0043692925226779,8,h_850_weekave_pacific_trop_pc16,MW,1
393,0.0033432205582337,0.0043692925226779,8,h_850_weekave_pacific_ocean_pc16,MW,1
393,0.0033432205582337,0.0043692925226779,8,h_850_weekave_mexico_gulf_pc16,MW,1
393,0.0033432205582337,0.0043692925226779,8,h_850_weekave_east_asia_pc16,MW,1
347,0.0033259207860712,0.0014497801150484,1,ts_weekave_mexico_gulf_pc12,MW,1
148,0.0033182119716848,0.0027753405163882,1,ts_weekave_pacific_ocean_pc4,MW,1
273,0.0032058655538079,0.0033081391278296,2,t_500_weekave_pacific_trop_pc8,MW,1
273,0.0032058655538079,0.0033081391278296,2,t_500_weekave_southern_canada_pc8,MW,1
357,0.0031838218547643,0.002909269471841,2,h_850_weekave_conus_pc13,MW,1
